citation,citation_text,adj,pos_adj,neg_adj
Brill 1992,"Within each collection, the reviews were split into 25 positive and 25 4 To determine part of speech, we use the Brill tagger (Brill 1992).",['positive'],"(1, ['positive'])","(0, [])"
Brooke 2009,"In related work, we have also shown that creating a new version of SO-CAL for a new language, Spanish, is as fast as building text classi ers for the new language, and results in better performance (Brooke 2009; Brooke, To loski, and Taboada 2009).","['new', 'fast', 'socal', 'better', 'related']","(2, ['fast', 'better'])","(0, [])"
Brooke and Hurst 2009,"2008; Brooke and Hurst 2009). 2008) and video game reviews (Brooke and Hurst 2009), without any need for further development or training. SO-CAL has also been successfully deployed for the detection of sentence-level polarity (Brooke and Hurst 2009).","['video', 'sentencelevel', 'socal', 'further']","(0, [])","(0, [])"
Bruce and Wiebe 2000,Several lexiconbased approaches have adopted these assumptions (Bruce and Wiebe 2000; Hu and Liu 2004; Kim and Hovy 2004).,['several'],"(0, [])","(0, [])"
Callison-Burch 2009,2008; Callison-Burch 2009; Zaenen to appear).,['callisonburch'],"(0, [])","(0, [])"
Chafe and Nichols 1986,"The analysis and automatic extraction of semantic orientation can be found under different umbrella terms: sentiment analysis (Pang and Lee 2008), subjectivity (Lyons 1981; Langacker 1985), opinion mining (Pang and Lee 2008), analysis of stance (Biber and Finegan 1988; Conrad and Biber 2000), appraisal (Martin and White 2005), point of view (Wiebe 1994; Scheibman 2002), evidentiality (Chafe and Nichols 1986), and a few others, without expanding into neighboring disciplines and the study of emotion (Ketal 1975; Ortony, Clore, and Collins 1988) and affect (Batson, Shaw, and Oleson 1992).","['affect', 'semantic', 'ortony', 'scheibman', 'automatic', 'ketal', 'different', 'white', 'finegan', 'few']","(0, [])","(0, [])"
Chaovalit and Zhou 2005,Classi ers built using supervised methods reach quite a high accuracy in detecting the polarity of a text (Chaovalit and Zhou 2005; Kennedy and Inkpen 2006; Boiy et al.,['high'],"(0, [])","(0, [])"
Choi and Cardie 2008,"Though it seems to work well in certain cases (Choi and Cardie 2008), it fails miserably in others (Liu and Seneff 2009). We also discuss, in Section 2.4, work on incorporating linguistic insights for the treatment of negation (Moilanen and Pulman 2007; Choi and Cardie 2008).","['linguistic', 'certain']","(0, [])","(0, [])"
Conrad and Biber 2000,"The analysis and automatic extraction of semantic orientation can be found under different umbrella terms: sentiment analysis (Pang and Lee 2008), subjectivity (Lyons 1981; Langacker 1985), opinion mining (Pang and Lee 2008), analysis of stance (Biber and Finegan 1988; Conrad and Biber 2000), appraisal (Martin and White 2005), point of view (Wiebe 1994; Scheibman 2002), evidentiality (Chafe and Nichols 1986), and a few others, without expanding into neighboring disciplines and the study of emotion (Ketal 1975; Ortony, Clore, and Collins 1988) and affect (Batson, Shaw, and Oleson 1992).","['affect', 'semantic', 'ortony', 'scheibman', 'automatic', 'ketal', 'different', 'white', 'finegan', 'few']","(0, [])","(0, [])"
"Councill, McDonald, and Velikovich 2010","Another option is to use parser results to learn the scope (Councill, McDonald, and Velikovich 2010).",[],"(0, [])","(0, [])"
"Dang, Zhang, and Chen (2010)","Other hybrid methods include those of Andreevskaia and Bergler (2008), Dang, Zhang, and Chen (2010), Dasgupta and Ng (2009), Goldberg and Zhu (2006), or Prabowo and Thelwall (2009).","['other', 'hybrid']","(0, [])","(0, [])"
Dasgupta and Ng (2009),"Other hybrid methods include those of Andreevskaia and Bergler (2008), Dang, Zhang, and Chen (2010), Dasgupta and Ng (2009), Goldberg and Zhu (2006), or Prabowo and Thelwall (2009).","['other', 'hybrid']","(0, [])","(0, [])"
December 2009,Submission received: 14 December 2009; revised submission received: 22 August 2010; accepted for publication: 28 September 2010.,[],"(0, [])","(0, [])"
Devitt and Ahmad 2007,"Many other systems make use of either the Subjectivity dictionary of Wiebe and colleagues, or of SentiWordNet (Devitt and Ahmad 2007; Thet et al.","['ahmad', 'other', 'many', 'sentiwordnet']","(0, [])","(0, [])"
Esuli and Sebastiani 2006,"Lexicon-Based Methods for Sentiment Analysis and Hovy 2004; Esuli and Sebastiani 2006). Another publicly available corpus is SentiWordNet (Esuli and Sebastiani 2006; Baccianella, Esuli, and Sebastiani 2010), an extension of WordNet (Fellbaum 1998) where each synset is annotated with labels indicating how objective, positive, and negative the terms in the synset are. The SentiWordNet dictionary (Esuli and Sebastiani 2006; Baccianella, Esuli, and Sebastiani 2010), also used in the previous section, was built using WordNet (Fellbaum 1998), and retains its synset structure. Lexicon-Based Methods for Sentiment Analysis approaches have emerged: the use of machine-learning classi ers trained on n-grams or similar features (Pang, Lee, and Vaithyanathan 2002), and the use of sentiment dictionaries (Esuli and Sebastiani 2006; Taboada, Anthony, and Voll 2006).","['machinelearning', 'lexiconbased', 'structure', 'dictionary', 'similar', 'sentiwordnet', 'synset', 'previous', 'negative', 'objective', 'available']","(1, ['available'])","(1, ['negative'])"
Fellbaum 1998,"Another publicly available corpus is SentiWordNet (Esuli and Sebastiani 2006; Baccianella, Esuli, and Sebastiani 2010), an extension of WordNet (Fellbaum 1998) where each synset is annotated with labels indicating how objective, positive, and negative the terms in the synset are. The SentiWordNet dictionary (Esuli and Sebastiani 2006; Baccianella, Esuli, and Sebastiani 2010), also used in the previous section, was built using WordNet (Fellbaum 1998), and retains its synset structure.","['dictionary', 'sentiwordnet', 'previous', 'negative', 'objective', 'available']","(1, ['available'])","(1, ['negative'])"
Finn and Kushmerick 2003,"Names also gure prominently, a problem noted by other researchers (Finn and Kushmerick 2003; Kennedy and Inkpen 2006).",['other'],"(0, [])","(0, [])"
Fletcher and Patrick (2005),"Fletcher and Patrick (2005) used bags-of-words that included Appraisal features, and obtained 83.7% accuracy in that same data set, whereas Whitelaw, Garg, and Argamon (2005), using bags-of-words combined with Appraisal groups achieved 90.2%.","['argamon', 'same', 'whitelaw', 'appraisal']","(0, [])","(0, [])"
Giannakidou 1998,"NPIs occur in negative sentences, but also in nonveridical contexts (Zwarts 1995; Giannakidou 1998), which also affect semantic orientation.","['semantic', 'npis', 'nonveridical', 'negative']","(0, [])","(1, ['negative'])"
Goldberg and Zhu (2006),"Other hybrid methods include those of Andreevskaia and Bergler (2008), Dang, Zhang, and Chen (2010), Dasgupta and Ng (2009), Goldberg and Zhu (2006), or Prabowo and Thelwall (2009).","['other', 'hybrid']","(0, [])","(0, [])"
Greenberg 1966,"This markedness is true in terms of linguistic form, with negative forms being marked across languages (Greenberg 1966), and it is also manifested as (token) frequency distribution, with negatives being less frequent (Boucher and Osgood 1969).15 Negation tends to be expressed in euphemistic ways, which makes negative sentiment more dif cult to identify in general.","['euphemistic', 'true', 'frequent', 'dif', 'negative', 'linguistic', 'token']","(0, [])","(1, ['negative'])"
Greene and Resnik 2009,"Computational Linguistics Volume 37, Number 2 the sentence level, exploring the types of syntactic patterns that indicate subjectivity and sentiment is also a possibility (Greene and Resnik 2009).","['computational', 'syntactic']","(0, [])","(0, [])"
Halliday 1985,"We nd that grammatical metaphor (Halliday 1985), that is, the use of a noun to refer to an action, adds a more negative connotation to negative words.","['grammatical', 'negative']","(0, [])","(1, ['negative'])"
Hatzivassiloglou and McKeown 1997,"1966; Tong 2001), or automatically, using seed words to expand the list of words (Hatzivassiloglou and McKeown 1997; Turney 2002; Turney and Littman 2003). Much of the lexicon-based research has focused on using adjectives as indicators of the semantic orientation of text (Hatzivassiloglou and McKeown 1997; Wiebe 2000; Hu and Liu 2004; Taboada, Anthony, and Voll 2006).2 First, a list of adjectives and corresponding SO values is compiled into a dictionary. 2.1 Adjectives Much of the early research in sentiment focused on adjectives or adjective phrases as the primary source of subjective content in a document (Hatzivassiloglou and McKeown 1997; Hu and Liu 2004; Taboada, Anthony, and Voll 2006), albeit with some exceptions, especially more recently, which have also included the use of adverbs (Benamara et al.","['semantic', 'lexiconbased', 'dictionary', 'tong', 'primary', 'subjective', 'adjective', 'recently', 'early']","(0, [])","(0, [])"
Horn 1989,"The rst approach is fairly liberal, and allows us to capture the true effects of negation raising (Horn 1989), where the negator for a verb moves up and attaches to the verb in the matrix clause. One other interesting aspect of the pragmatics of negation is that negative statements tend to be perceived as more marked than their af rmative counterparts, both pragmatically and psychologically (Osgood and Richards 1973; Horn 1989, chapter 3). This is mostly likely attributable to the default status of positive, and the marked character of negative expression (Boucher and Osgood 1969; Horn 1989; Jing-Schmidt 2007); neutral description might be taken as being vaguely positive, but it would not be mistaken for negative expression.26 For the word-pair task, we categorize the distribution data by the difference in SO between the two words, putting negative and positive words in separate tables.","['jingschmidt', 'true', 'wordpair', 'horn', 'likely', 'positive', 'other', 'rst', 'liberal', 'neutral', 'negative', 'separate', 'attributable', 'marked', 'rmative']","(1, ['positive'])","(1, ['negative'])"
Hu and Liu 2004,"Much of the lexicon-based research has focused on using adjectives as indicators of the semantic orientation of text (Hatzivassiloglou and McKeown 1997; Wiebe 2000; Hu and Liu 2004; Taboada, Anthony, and Voll 2006).2 First, a list of adjectives and corresponding SO values is compiled into a dictionary. Several lexiconbased approaches have adopted these assumptions (Bruce and Wiebe 2000; Hu and Liu 2004; Kim and Hovy 2004). 2.1 Adjectives Much of the early research in sentiment focused on adjectives or adjective phrases as the primary source of subjective content in a document (Hatzivassiloglou and McKeown 1997; Hu and Liu 2004; Taboada, Anthony, and Voll 2006), albeit with some exceptions, especially more recently, which have also included the use of adverbs (Benamara et al. 1966), or semi-automatically, making use of resources like WordNet (Hu and Liu 2004; Kim 270","['semantic', 'lexiconbased', 'semiautomatically', 'dictionary', 'primary', 'subjective', 'adjective', 'several', 'recently', 'early']","(0, [])","(0, [])"
"In Taboada, Anthony, and Voll (2006)","In Taboada, Anthony, and Voll (2006) we report on experiments using different search engines and operators in trying to create dictionaries semiautomatically.","['taboada', 'different']","(0, [])","(0, [])"
"In Taboada, Brooke, and Stede (2009)","In Taboada, Brooke, and Stede (2009) we built classi ers to distinguish among paragraphs that contained mostly description, mostly comment, a combination of the two, or meta-information (such as titles, authors, review ratings, or movie ratings).","['classi', 'titles', 'such', 'stede', 'taboada']","(0, [])","(0, [])"
Jing-Schmidt 2007,"English does not make extensive use of the subjunctive for this purpose, as opposed to other languages, such as Spanish, which tend to use the subjunctive mood to indicate that what is being 15 Some researchers argue that there is a negative bias in the human representation of experience (negative events are more salient), and the positive bias found by Boucher and Osgood is the result of euphemisms and political correctness in language (Jing-Schmidt 2007). This is mostly likely attributable to the default status of positive, and the marked character of negative expression (Boucher and Osgood 1969; Horn 1989; Jing-Schmidt 2007); neutral description might be taken as being vaguely positive, but it would not be mistaken for negative expression.26 For the word-pair task, we categorize the distribution data by the difference in SO between the two words, putting negative and positive words in separate tables.","['more', 'political', 'such', 'positive', 'horn', 'likely', 'wordpair', 'extensive', 'other', 'separate', 'neutral', 'negative', 'subjunctive', 'attributable', 'jingschmidt', 'marked', 'salient', 'human']","(1, ['positive'])","(1, ['negative'])"
Kennedy and Inkpen 2006,"Classi ers built using supervised methods reach quite a high accuracy in detecting the polarity of a text (Chaovalit and Zhou 2005; Kennedy and Inkpen 2006; Boiy et al. Names also gure prominently, a problem noted by other researchers (Finn and Kushmerick 2003; Kennedy and Inkpen 2006). Some researchers in sentiment analysis (Kennedy and Inkpen 2006; Polanyi and Zaenen 2006) have implemented 274 2.6 Text-Level Features Lexicon-based sentiment classi ers generally show a positive bias (Kennedy and Inkpen 2006), likely the result of a universal human tendency to favor positive language (Boucher and Osgood 1969).16 In order to overcome this problem, Voll and Taboada (2007) implemented normalization, shifting the numerical cut-off point between positive and negative reviews. Support Vector Machine (SVM) classi ers have been shown to outperform lexicon-based models within a single domain (Kennedy and Inkpen 2006); they have trouble with cross-domain tasks (Aue and Gamon 2005), however, and some researchers have argued for hybrid classi ers (Andreevskaia and Bergler 2008). 2004; Kennedy and Inkpen 2006; Ng, Dasgupta, and Niaz Ari n 2006; Sokolova and Lapalme 2008), it nonetheless still suffers from lack of cross-domain portability.","['universal', 'lexiconbased', 'high', 'positive', 'textlevel', 'other', 'niaz', 'single', 'crossdomain', 'numerical', 'negative', 'hybrid', 'human']","(1, ['positive'])","(1, ['negative'])"
Ketal 1975,"The analysis and automatic extraction of semantic orientation can be found under different umbrella terms: sentiment analysis (Pang and Lee 2008), subjectivity (Lyons 1981; Langacker 1985), opinion mining (Pang and Lee 2008), analysis of stance (Biber and Finegan 1988; Conrad and Biber 2000), appraisal (Martin and White 2005), point of view (Wiebe 1994; Scheibman 2002), evidentiality (Chafe and Nichols 1986), and a few others, without expanding into neighboring disciplines and the study of emotion (Ketal 1975; Ortony, Clore, and Collins 1988) and affect (Batson, Shaw, and Oleson 1992).","['affect', 'semantic', 'ortony', 'scheibman', 'automatic', 'ketal', 'different', 'white', 'finegan', 'few']","(0, [])","(0, [])"
Kim and Hovy 2004,"Several lexiconbased approaches have adopted these assumptions (Bruce and Wiebe 2000; Hu and Liu 2004; Kim and Hovy 2004). 2007); adjectives and verbs (Kim and Hovy 2004); adjective phrases (Whitelaw, Garg, and Argamon 2005); two-word phrases (Turney 2002; Turney and Littman 2003); adjectives, verbs, and adverbs (Subrahmanian and Reforgiato 2008); the exclusive use of verbs (Sokolova and Lapalme 2008); the use of non-affective adjectives and adverbs (Sokolova and Lapalme 2009a, 2009b); or rationales, words and phrases selected by human annotators (Zaidan and Eisner 2008).","['twoword', 'adverbs', 'exclusive', 'nonaffective', 'adjective', 'littman', 'several', 'argamon', 'subrahmanian', 'human']","(0, [])","(0, [])"
Langacker 1985,"The analysis and automatic extraction of semantic orientation can be found under different umbrella terms: sentiment analysis (Pang and Lee 2008), subjectivity (Lyons 1981; Langacker 1985), opinion mining (Pang and Lee 2008), analysis of stance (Biber and Finegan 1988; Conrad and Biber 2000), appraisal (Martin and White 2005), point of view (Wiebe 1994; Scheibman 2002), evidentiality (Chafe and Nichols 1986), and a few others, without expanding into neighboring disciplines and the study of emotion (Ketal 1975; Ortony, Clore, and Collins 1988) and affect (Batson, Shaw, and Oleson 1992).","['affect', 'semantic', 'ortony', 'scheibman', 'automatic', 'ketal', 'different', 'white', 'finegan', 'few']","(0, [])","(0, [])"
Liu and Seneff 2009,"Though it seems to work well in certain cases (Choi and Cardie 2008), it fails miserably in others (Liu and Seneff 2009).",['certain'],"(0, [])","(0, [])"
Lyons 1981,"The analysis and automatic extraction of semantic orientation can be found under different umbrella terms: sentiment analysis (Pang and Lee 2008), subjectivity (Lyons 1981; Langacker 1985), opinion mining (Pang and Lee 2008), analysis of stance (Biber and Finegan 1988; Conrad and Biber 2000), appraisal (Martin and White 2005), point of view (Wiebe 1994; Scheibman 2002), evidentiality (Chafe and Nichols 1986), and a few others, without expanding into neighboring disciplines and the study of emotion (Ketal 1975; Ortony, Clore, and Collins 1988) and affect (Batson, Shaw, and Oleson 1992).","['affect', 'semantic', 'ortony', 'scheibman', 'automatic', 'ketal', 'different', 'white', 'finegan', 'few']","(0, [])","(0, [])"
Mann and Thompson 1988,"12 The discourse connective but plays a role in linking clauses and sentences in a rhetorical relation (Mann and Thompson 1988). For example, one module could pre-process the text and tag spans that are believed to be topic sentences, another module could provide discourse information such as rhetorical relations (Mann and Thompson 1988), and a third module could label the sentences that seem to be subjective.","['such', 'rhetorical', 'topic', 'subjective', 'third', 'discourse']","(0, [])","(1, ['rhetorical'])"
Martin and White 2005,"The analysis and automatic extraction of semantic orientation can be found under different umbrella terms: sentiment analysis (Pang and Lee 2008), subjectivity (Lyons 1981; Langacker 1985), opinion mining (Pang and Lee 2008), analysis of stance (Biber and Finegan 1988; Conrad and Biber 2000), appraisal (Martin and White 2005), point of view (Wiebe 1994; Scheibman 2002), evidentiality (Chafe and Nichols 1986), and a few others, without expanding into neighboring disciplines and the study of emotion (Ketal 1975; Ortony, Clore, and Collins 1988) and affect (Batson, Shaw, and Oleson 1992).","['affect', 'semantic', 'ortony', 'scheibman', 'automatic', 'ketal', 'different', 'white', 'finegan', 'few']","(0, [])","(0, [])"
Mohammad and Turney 2010,"2010; Mohammad and Turney 2010; Yano, Resnik, and Smith 2010), although there are mixed reports on its reliability (Snow et al.",['mixed'],"(0, [])","(0, [])"
"Mohammad, Dorr, and Dunne 2009","Automatically generated dictionaries are generally much larger: SentiWordNet (Baccianella, Esuli, and Sebastiani 2010) includes 38,182 non-neutral words (when the polarity of senses is averaged see discussion in Section 3.4), and the Maryland dictionary (Mohammad, Dorr, and Dunne 2009) has 76,775 words and phrases tagged for polarity. Computational Linguistics Volume 37, Number 2 The Maryland dictionary (Mohammad, Dorr, and Dunne 2009) is a very large collection of words and phrases (around 70,000) extracted from the Macquarie Thesaurus.","['computational', 'polarity', 'dictionary', 'averaged', 'large', 'much', 'see', 'nonneutral']","(0, [])","(0, [])"
Moilanen and Pulman 2007,"We also discuss, in Section 2.4, work on incorporating linguistic insights for the treatment of negation (Moilanen and Pulman 2007; Choi and Cardie 2008).",['linguistic'],"(0, [])","(0, [])"
"Moilanen, Pulman, and Zhang (2010)","The gures in the rst section of Table 7 suggest robust performance as compared to a mostfrequent-class baseline, including modest improvement over the relevant cross-domain results of Andreevskaia and Bergler (2008).22 Moilanen, Pulman, and Zhang (2010) also use the headlines data, and obtain a polarity classi cation accuracy of 77.94% below our results excluding empty.23 21 By default, SO-CAL assigns a zero to such texts, which is usually interpreted to mean that the text is neither positive nor negative.","['empty', 'such', 'positive', 'rst', 'table', 'mostfrequentclass', 'crossdomain', 'negative', 'socal', 'modest', 'robust', 'suggest', 'default', 'relevant']","(3, ['positive', 'modest', 'robust'])","(1, ['negative'])"
Mullen and Collier 2004,Although some of the machine-learningbased work makes use of linguistic features for training (Riloff and Wiebe 2003; Mullen and Collier 2004; Wiebe et al.,"['machinelearningbased', 'linguistic', 'collier']","(0, [])","(0, [])"
"Ortony, Clore, and Collins 1988","The analysis and automatic extraction of semantic orientation can be found under different umbrella terms: sentiment analysis (Pang and Lee 2008), subjectivity (Lyons 1981; Langacker 1985), opinion mining (Pang and Lee 2008), analysis of stance (Biber and Finegan 1988; Conrad and Biber 2000), appraisal (Martin and White 2005), point of view (Wiebe 1994; Scheibman 2002), evidentiality (Chafe and Nichols 1986), and a few others, without expanding into neighboring disciplines and the study of emotion (Ketal 1975; Ortony, Clore, and Collins 1988) and affect (Batson, Shaw, and Oleson 1992).","['affect', 'semantic', 'ortony', 'scheibman', 'automatic', 'ketal', 'different', 'white', 'finegan', 'few']","(0, [])","(0, [])"
Osgood and Richards 1973,"One other interesting aspect of the pragmatics of negation is that negative statements tend to be perceived as more marked than their af rmative counterparts, both pragmatically and psychologically (Osgood and Richards 1973; Horn 1989, chapter 3).","['horn', 'other', 'rmative', 'negative']","(0, [])","(1, ['negative'])"
"Osgood, Suci, and Tannenbaum 1957","Computational Linguistics Volume 37, Number 2 towards a subject topic, person, or idea (Osgood, Suci, and Tannenbaum 1957).",['computational'],"(0, [])","(0, [])"
Pang and Lee (2008),"However, although such classi ers perform very well in the domain that they are trained on, their performance drops precipitously (almost to chance) when the same classi er is used in 1 Pang and Lee (2008) provide an excellent recent survey of the opinion mining or sentiment analysis problem and the approaches used to tackle it.","['classi', 'such', 'excellent', 'lee', 'same', 'recent']","(1, ['excellent'])","(0, [])"
Pang and Lee 2004,"The enhanced dictionaries contain 2,252 adjective entries, 1,142 nouns, 903 verbs, and 745 adverbs.6 The SO-carrying words in these dictionaries were taken from a variety of sources, the three largest being Epinions 1, the 400-text corpus described in the previous section; a 100-text subset of the 2,000 movie reviews in the Polarity Dataset (Pang, Lee, and Vaithyanathan 2002; Pang and Lee 2004, 2005);7 and positive and negative words from the General Inquirer dictionary (Stone et al. Movie: 1,900 texts from the Polarity Dataset (Pang and Lee 2004).18 Camera: A 2,400-text corpus of camera, printer, and stroller reviews, taken from a larger set of Epinions reviews; also used in Bloom, Garg, and Argamon (2007). Pang and Lee s own results show an overall accuracy of 87.15% for polarity classi cation of whole reviews (Pang and Lee 2004).","['enhanced', 'bloom', 'positive', 'socarrying', 'general', 'dictionary', 'previous', 'text', 'nouns', 'adjective', 'lee', 'whole', 'own', 'negative', 'larger', 'argamon', 'largest', 'overall']","(3, ['enhanced', 'bloom', 'positive'])","(1, ['negative'])"
Pang and Lee 2005,"MT correspondence of 30 Distinguishing neutral and polar terms, sentences, or texts is, in general, a hard problem (Wilson, Wiebe, and Hwa 2004; Pang and Lee 2005).","['neutral', 'hard', 'polar']","(0, [])","(1, ['hard'])"
Pang and Lee 2008,"The analysis and automatic extraction of semantic orientation can be found under different umbrella terms: sentiment analysis (Pang and Lee 2008), subjectivity (Lyons 1981; Langacker 1985), opinion mining (Pang and Lee 2008), analysis of stance (Biber and Finegan 1988; Conrad and Biber 2000), appraisal (Martin and White 2005), point of view (Wiebe 1994; Scheibman 2002), evidentiality (Chafe and Nichols 1986), and a few others, without expanding into neighboring disciplines and the study of emotion (Ketal 1975; Ortony, Clore, and Collins 1988) and affect (Batson, Shaw, and Oleson 1992).","['affect', 'semantic', 'ortony', 'scheibman', 'automatic', 'ketal', 'different', 'white', 'finegan', 'few']","(0, [])","(0, [])"
"Pang, Lee, and Vaithyanathan (2002)","Pang, Lee, and Vaithyanathan (2002) found that their machine-learning classi er performed better when a binary feature was used indicating the presence of a unigram in the text, instead of a numerical feature indicating the number of appearances.","['machinelearning', 'better', 'binary', 'numerical']","(1, ['better'])","(0, [])"
"Pang, Lee, and Vaithyanathan 2002","The text classi cation approach involves building classi ers from labeled instances of texts or sentences (Pang, Lee, and Vaithyanathan 2002), essentially a supervised classi cation task. The majority of the statistical text classi cation research builds Support Vector Machine classi ers, trained on a particular data set using features such as unigrams or bigrams, and with or without part-of-speech labels, although the most successful features seem to be basic unigrams (Pang, Lee, and Vaithyanathan 2002; Salvetti, Reichenbach, and Lewis 2006). The enhanced dictionaries contain 2,252 adjective entries, 1,142 nouns, 903 verbs, and 745 adverbs.6 The SO-carrying words in these dictionaries were taken from a variety of sources, the three largest being Epinions 1, the 400-text corpus described in the previous section; a 100-text subset of the 2,000 movie reviews in the Polarity Dataset (Pang, Lee, and Vaithyanathan 2002; Pang and Lee 2004, 2005);7 and positive and negative words from the General Inquirer dictionary (Stone et al. Lexicon-Based Methods for Sentiment Analysis approaches have emerged: the use of machine-learning classi ers trained on n-grams or similar features (Pang, Lee, and Vaithyanathan 2002), and the use of sentiment dictionaries (Esuli and Sebastiani 2006; Taboada, Anthony, and Voll 2006).","['enhanced', 'previous', 'text', 'machinelearning', 'unigrams', 'labeled', 'successful', 'basic', 'partofspeech', 'positive', 'particular', 'statistical', 'similar', 'adjective', 'negative', 'lexiconbased', 'such', 'socarrying', 'general', 'dictionary', 'supervised', 'nouns', 'support', 'largest']","(4, ['enhanced', 'successful', 'positive', 'support'])","(1, ['negative'])"
Polanyi and Zaenen 2006,Some researchers in sentiment analysis (Kennedy and Inkpen 2006; Polanyi and Zaenen 2006) have implemented 274,[],"(0, [])","(0, [])"
Prabowo and Thelwall 2009,"We tested SO-CAL with four different data sets: the Multi-Perspective Question Answering (MPQA) corpus, version 2.0 (Wiebe, Wilson, and Cardie 2005); a collection of MySpace.com comments from Mike Thelwall (Prabowo and Thelwall 2009); a set of news and blog posts from Alina Andreevskaia (Andreevskaia and Bergler 2008); and a set of headlines from Rada Mihalcea and Carlo Strappavara (Strappavara and Mihalcea 2007).20 The rst set of data is the MPQA corpus (version 2.0), a collection of news articles and other documents (texts from the American National Corpus and other sources) annotated for opinions and other private states (beliefs, emotions, speculation, etc.).","['emotions', 'other', 'alina', 'american', 'corpus', 'socal', 'different', 'national', 'mpqa', 'private', 'multiperspective']","(0, [])","(0, [])"
Read and Carroll (2009),"Read and Carroll (2009), for instance, use semi-supervised methods to build domainindependent polarity classi ers.","['semisupervised', 'domainindependent']","(0, [])","(0, [])"
Riloff and Wiebe 2003,Although some of the machine-learningbased work makes use of linguistic features for training (Riloff and Wiebe 2003; Mullen and Collier 2004; Wiebe et al.,"['machinelearningbased', 'linguistic', 'collier']","(0, [])","(0, [])"
Salton and McGill 1983,"This weighting feature is used in Taboada, Brooke, and 17 One of the reviewers points out that this is similar to the use of term frequency (tf-idf) in information retrieval (Salton and McGill 1983).","['taboada', 'similar', 'weighting']","(0, [])","(0, [])"
"Salvetti, Reichenbach, and Lewis 2006","The majority of the statistical text classi cation research builds Support Vector Machine classi ers, trained on a particular data set using features such as unigrams or bigrams, and with or without part-of-speech labels, although the most successful features seem to be basic unigrams (Pang, Lee, and Vaithyanathan 2002; Salvetti, Reichenbach, and Lewis 2006).","['such', 'particular', 'statistical', 'unigrams', 'successful', 'basic', 'support', 'partofspeech']","(2, ['successful', 'support'])","(0, [])"
Saur 2008,This we may refer to as switch negation (Saur 2008).,['switch'],"(0, [])","(0, [])"
Scheibman 2002,"The analysis and automatic extraction of semantic orientation can be found under different umbrella terms: sentiment analysis (Pang and Lee 2008), subjectivity (Lyons 1981; Langacker 1985), opinion mining (Pang and Lee 2008), analysis of stance (Biber and Finegan 1988; Conrad and Biber 2000), appraisal (Martin and White 2005), point of view (Wiebe 1994; Scheibman 2002), evidentiality (Chafe and Nichols 1986), and a few others, without expanding into neighboring disciplines and the study of emotion (Ketal 1975; Ortony, Clore, and Collins 1988) and affect (Batson, Shaw, and Oleson 1992).","['affect', 'semantic', 'ortony', 'scheibman', 'automatic', 'ketal', 'different', 'white', 'finegan', 'few']","(0, [])","(0, [])"
Schilder 2002,"At the same time, we will investigate different aggregation strategies for the different types of relations in the text (see also Asher, Benamara, and Mathieu [2008, 2009] for preliminary work in this area), and build on existing discourse parsing systems and proposals (Schilder 2002; Soricut and Marcu 2003; Subba and Di Eugenio 2009).","['preliminary', 'same', 'different']","(0, [])","(0, [])"
September 2010,Submission received: 14 December 2009; revised submission received: 22 August 2010; accepted for publication: 28 September 2010.,[],"(0, [])","(0, [])"
Sokolova and Lapalme 2008,"2007); adjectives and verbs (Kim and Hovy 2004); adjective phrases (Whitelaw, Garg, and Argamon 2005); two-word phrases (Turney 2002; Turney and Littman 2003); adjectives, verbs, and adverbs (Subrahmanian and Reforgiato 2008); the exclusive use of verbs (Sokolova and Lapalme 2008); the use of non-affective adjectives and adverbs (Sokolova and Lapalme 2009a, 2009b); or rationales, words and phrases selected by human annotators (Zaidan and Eisner 2008). 2004; Kennedy and Inkpen 2006; Ng, Dasgupta, and Niaz Ari n 2006; Sokolova and Lapalme 2008), it nonetheless still suffers from lack of cross-domain portability.","['twoword', 'adverbs', 'exclusive', 'nonaffective', 'niaz', 'adjective', 'littman', 'argamon', 'subrahmanian', 'human']","(0, [])","(0, [])"
Sokolova and Lapalme 2009,"2007); adjectives and verbs (Kim and Hovy 2004); adjective phrases (Whitelaw, Garg, and Argamon 2005); two-word phrases (Turney 2002; Turney and Littman 2003); adjectives, verbs, and adverbs (Subrahmanian and Reforgiato 2008); the exclusive use of verbs (Sokolova and Lapalme 2008); the use of non-affective adjectives and adverbs (Sokolova and Lapalme 2009a, 2009b); or rationales, words and phrases selected by human annotators (Zaidan and Eisner 2008).","['twoword', 'adverbs', 'exclusive', 'nonaffective', 'adjective', 'littman', 'argamon', 'subrahmanian', 'human']","(0, [])","(0, [])"
Soricut and Marcu 2003,"At the same time, we will investigate different aggregation strategies for the different types of relations in the text (see also Asher, Benamara, and Mathieu [2008, 2009] for preliminary work in this area), and build on existing discourse parsing systems and proposals (Schilder 2002; Soricut and Marcu 2003; Subba and Di Eugenio 2009).","['preliminary', 'same', 'different']","(0, [])","(0, [])"
Stone 1997,"1966; Stone 1997).8 The sources provide a fairly good range in terms of register: The Epinions and movie reviews represent informal language, with words such as ass-kicking and nifty; at the other end of the spectrum, the General Inquirer was clearly built from much more formal texts, and contributed words such as adroit and jubilant, which may be more useful in the processing of literary reviews (Taboada, Gillies, and McFetridge 2006; Taboada et al.","['more', 'literary', 'such', 'good', 'general', 'other', 'useful', 'asskicking', 'formal', 'informal']","(2, ['good', 'useful'])","(0, [])"
